id,name,composer_id
1,Mlle Duval,1
2,La Légende,1
3,Louise Duval,1
4,La Légende,1
5,Louise Duval,1
6,Kathleen Dale,2
7,Kathleen Richards,2
8,Kathleen Richards,2
9,Maria Dolores Malumbres,3
10,Suzanne Giraud,4
11,Louise Talma,5
12,Reine Colaço Osorio-Swaab,6
13,Antonietta Gambara Untersteiner,7
14,Najla Jabor,8
15,Agata Zubel,9
16,Erzsébet Szőnyi,10
17,Harriet Maitland Young,11
18,Peggy Stuart Coolidge,12
19,Chaya Arbel,13
20,Sophia Corri Dussek,14
21,Sophia Dussek,14
22,Sophia Dussek,14
23,Fredrikke Egeberg,15
24,Cecilia McDowall,16
25,Hilda Dianda,17
26,Léonie Antoinette Tonel,18
27,Leonie Tonel,18
28,Mildred Grace Adair,19
29,Mildred Adair Stagg,19
30,Mildred Adair Stagg,19
31,Marilyn Shrude,20
32,Catherine Lucy Ward Bridgen Carter,21
33,Kate Lucy Ward,21
34,Kate Lucy Ward,21
35,Deborah Drattell,22
36,Bettina Skrzypczak,23
37,Hildur Guðnadóttir,24
38,Julia Niewiarowska-Brzozowska,25
39,Elizabeth Gyring,26
40,Hildegard Westerkamp,27
41,Florence Everilda Goodeve,28
42,Florence Everilda Knowlys,28
43,Florence Everilda Knowlys,28
44,Joan Dolores Wilson,29
45,Judy Klein,30
46,Imogen Holst,31
47,Berthe di Vito-Delvaux,32
48,Gena Branscombe,33
49,Elisabeth Lutyens,34
50,Lolita Ritmanis,35
51,Maria Brizzi Giorgi,36
52,Eva Ruth Spalding,37
53,Clotilde Rosa,38
54,Carol E. Barnett,39
55,Margaret Brouwer,40
56,Clara Schumann,41
57,Clara Josephine Wieck,41
58,Clara Wieck,41
59,Caroline Holme Walker,42
60,Deirdre Gribbin,43
61,Matilde Capuis,44
62,E. Florence Whitlock,45
63,Jadwiga Szajna-Lewandowska,46
64,Hafdís Bjarnadóttir,47
65,Lili Boulanger,48
66,Rachel Portman,49
67,Ethel Scarborough,50
68,Lucy Armstrong,51
69,Rosa Guraieb,52
70,Berta Bock,53
71,Margaret Isobel Jones Wiles,54
72,Margaret Jones Wiles,54
73,Esther Allan,55
74,Esther Boyarsky,55
75,Esther Boyarsky,55
76,Charlotte Seither,56
77,Emilie Hammarskjöld,57
78,Emilie Holmberg,57
79,Emilie Holmberg,57
80,Adela Maddison,58
81,Rebecca Saunders,59
82,Birgitte Alsted,60
83,Jeanne Renee de Bombelles,61
84,Marquis de Travanet,61
